departamento,año,edad
Total,1993,21.2
Total,2007,25.2
Total,2017,29.2
Amazonas,1993,17.6
Amazonas,2007,21.2
Amazonas,2017,26.2
Áncash,1993,20.6
Áncash,2007,25.1
Áncash,2017,29.8
Apurímac,1993,17.9
Apurímac,2007,21.7
Apurímac,2017,28
Arequipa,1993,22.7
Arequipa,2007,27.4
Arequipa,2017,30.6
Ayacucho,1993,18.9
Ayacucho,2007,22.4
Ayacucho,2017,27.3
Cajamarca,1993,18.1
Cajamarca,2007,22.8
Cajamarca,2017,28.1
Callao,1993,24
Callao,2007,27.6
Callao,2017,30.5
Cusco,1993,19.6
Cusco,2007,23.3
Cusco,2017,28.2
Huancavelica,1993,17.4
Huancavelica,2007,20.2
Huancavelica,2017,26.5
Huánuco,1993,17.8
Huánuco,2007,21.2
Huánuco,2017,26.4
Ica,1993,21.8
Ica,2007,26.1
Ica,2017,28.7
Junín,1993,19.6
Junín,2007,23.5
Junín,2017,27.7
La Libertad,1993,21.3
La Libertad,2007,24.8
La Libertad,2017,28.2
Lambayeque,1993,20.7
Lambayeque,2007,25.1
Lambayeque,2017,28.8
Lima Metropolitana,1993,23.9
Lima Metropolitana,2007,27.9
Lima Metropolitana,2017,31.3
Lima,1993,22
Lima,2007,26.6
Lima,2017,30.1
Loreto,1993,17.1
Loreto,2007,20.1
Loreto,2017,23.3
Madre de Dios,1993,20.4
Madre de Dios,2007,23.6
Madre de Dios,2017,26.5
Moquegua,1993,23.4
Moquegua,2007,28.8
Moquegua,2017,32.3
Pasco,1993,18.8
Pasco,2007,23.1
Pasco,2017,27.6
Piura,1993,19.6
Piura,2007,23.9
Piura,2017,27.5
Puno,1993,20.2
Puno,2007,24.3
Puno,2017,29.6
San Martín,1993,19.3
San Martín,2007,22.6
San Martín,2017,26.6
Tacna,1993,27.6
Tacna,2007,26.8
Tacna,2017,30.8
Tumbes,1993,20.3
Tumbes,2007,24.9
Tumbes,2017,28
Ucayali,1993,18.1
Ucayali,2007,21.4
Ucayali,2017,24.5
