departamento,año,personas
Amazonas,1940,65137
Amazonas,1961,118439
Amazonas,1972,194472
Amazonas,1981,254560
Amazonas,1993,336665
Amazonas,2007,375993
Amazonas,2017,379384
Áncash,1940,424975
Áncash,1961,582598
Áncash,1972,726215
Áncash,1981,826399
Áncash,1993,955023
Áncash,2007,1063459
Áncash,2017,1083519
Apurímac,1940,258094
Apurímac,1961,288223
Apurímac,1972,308613
Apurímac,1981,323346
Apurímac,1993,381997
Apurímac,2007,404190
Apurímac,2017,405759
Arequipa,1940,263077
Arequipa,1961,388881
Arequipa,1972,529566
Arequipa,1981,706580
Arequipa,1993,916806
Arequipa,2007,1152303
Arequipa,2017,1382730
Ayacucho,1940,358991
Ayacucho,1961,410772
Ayacucho,1972,457441
Ayacucho,1981,503392
Ayacucho,1993,492507
Ayacucho,2007,612489
Ayacucho,2017,616176
Cajamarca,1940,494412
Cajamarca,1961,746938
Cajamarca,1972,919161
Cajamarca,1981,1026444
Cajamarca,1993,1259808
Cajamarca,2007,1387809
Cajamarca,2017,1341012
Callao,1940,82287
Callao,1961,213540
Callao,1972,321231
Callao,1981,443413
Callao,1993,639729
Callao,2007,876877
Callao,2017,994494
Cusco,1940,486592
Cusco,1961,611972
Cusco,1972,715237
Cusco,1981,832504
Cusco,1993,1028763
Cusco,2007,1171403
Cusco,2017,1205527
Huancavelica,1940,244595
Huancavelica,1961,302817
Huancavelica,1972,331629
Huancavelica,1981,346797
Huancavelica,1993,385162
Huancavelica,2007,454797
Huancavelica,2017,347639
Huánuco,1940,234024
Huánuco,1961,328919
Huánuco,1972,414468
Huánuco,1981,477650
Huánuco,1993,654489
Huánuco,2007,762223
Huánuco,2017,721047
Ica,1940,140898
Ica,1961,255930
Ica,1972,357247
Ica,1981,433897
Ica,1993,565686
Ica,2007,711932
Ica,2017,850765
Junín,1940,338502
Junín,1961,521210
Junín,1972,696641
Junín,1981,852238
Junín,1993,1035841
Junín,2007,1225474
Junín,2017,1246038
La Libertad,1940,383252
La Libertad,1961,582243
La Libertad,1972,783728
La Libertad,1981,982074
La Libertad,1993,1270261
La Libertad,2007,1617050
La Libertad,2017,1778080
Lambayeque,1940,192890
Lambayeque,1961,342446
Lambayeque,1972,514602
Lambayeque,1981,674442
Lambayeque,1993,920795
Lambayeque,2007,1112868
Lambayeque,2017,1197260
Lima,1940,828298
Lima,1961,2031051
Lima,1972,3472564
Lima,1981,4745877
Lima,1993,6386308
Lima,2007,8445211
Lima,2017,9485405
Lima Metropolitana,1940,562885
Lima Metropolitana,1961,1632370
Lima Metropolitana,1972,2981292
Lima Metropolitana,1981,4164597
Lima Metropolitana,1993,5706127
Lima Metropolitana,2007,7605742
Lima Metropolitana,2017,8574974
Lima (resto),1940,265413
Lima (resto),1961,398681
Lima (resto),1972,491272
Lima (resto),1981,581280
Lima (resto),1993,680181
Lima (resto),2007,839469
Lima (resto),2017,910431
Loreto,1940,152457
Loreto,1961,272933
Loreto,1972,375007
Loreto,1981,482829
Loreto,1993,687282
Loreto,2007,891732
Loreto,2017,883510
Madre de Dios,1940,4950
Madre de Dios,1961,14890
Madre de Dios,1972,21304
Madre de Dios,1981,33007
Madre de Dios,1993,67008
Madre de Dios,2007,109555
Madre de Dios,2017,141070
Moquegua,1940,34152
Moquegua,1961,51614
Moquegua,1972,74470
Moquegua,1981,101610
Moquegua,1993,128747
Moquegua,2007,161533
Moquegua,2017,174863
Pasco,1940,90353
Pasco,1961,138369
Pasco,1972,176580
Pasco,1981,212145
Pasco,1993,226295
Pasco,2007,280449
Pasco,2017,254065
Piura,1940,408605
Piura,1961,668941
Piura,1972,854972
Piura,1981,1125865
Piura,1993,1388264
Piura,2007,1676315
Piura,2017,1856809
Puno,1940,548371
Puno,1961,686260
Puno,1972,776173
Puno,1981,890258
Puno,1993,1079849
Puno,2007,1268441
Puno,2017,1172697
San Martín,1940,94843
San Martín,1961,161763
San Martín,1972,224427
San Martín,1981,319751
San Martín,1993,552387
San Martín,2007,728808
San Martín,2017,813381
Tacna,1940,36349
Tacna,1961,66024
Tacna,1972,95444
Tacna,1981,143085
Tacna,1993,218353
Tacna,2007,288781
Tacna,2017,329332
Tumbes,1940,25709
Tumbes,1961,55812
Tumbes,1972,76515
Tumbes,1981,103839
Tumbes,1993,155521
Tumbes,2007,200306
Tumbes,2017,224863
Ucayali,1940,16154
Ucayali,1961,64161
Ucayali,1972,120501
Ucayali,1981,163208
Ucayali,1993,314810
Ucayali,2007,432159
Ucayali,2017,496459
