departamento,año,temperatura_promedio
Amazonas,2014,14.9
Amazonas,2015,15.1
Amazonas,2016,15.6
Amazonas,2017,15.2
Amazonas,2018,14.9
Amazonas,2019,15.0
Amazonas,2020,15.3
Amazonas,2021,15.0
Amazonas,2022,15.0
Amazonas,2023,15.5
Áncash,2014,12.5
Áncash,2015,12.8
Áncash,2016,13.1
Áncash,2017,12.3
Áncash,2018,12.0
Áncash,2019,12.5
Áncash,2021,11.2
Áncash,2022,11.1
Áncash,2023,12.5
Apurímac,2014,14.1
Apurímac,2015,14.5
Apurímac,2016,14.9
Apurímac,2017,14.3
Apurímac,2018,14.2
Apurímac,2019,14.6
Apurímac,2021,13.6
Apurímac,2022,15.6
Apurímac,2023,14.3
Arequipa,2014,16.1
Arequipa,2015,17.1
Arequipa,2016,17.3
Arequipa,2017,16.6
Arequipa,2018,16.6
Arequipa,2019,17.0
Arequipa,2021,16.2
Arequipa,2022,16.0
Arequipa,2023,17.4
Ayacucho,2014,18.4
Ayacucho,2015,18.3
Ayacucho,2016,18.8
Ayacucho,2017,18.1
Ayacucho,2018,17.1
Ayacucho,2019,17.0
Ayacucho,2020,18.2
Ayacucho,2021,17.4
Ayacucho,2022,17.7
Ayacucho,2023,18.0
Cajamarca,2014,15.0
Cajamarca,2015,15.4
Cajamarca,2016,15.6
Cajamarca,2017,15.0
Cajamarca,2018,14.9
Cajamarca,2019,15.0
Cajamarca,2020,15.5
Cajamarca,2021,14.9
Cajamarca,2022,14.8
Cajamarca,2023,15.4
Cusco,2014,12.5
Cusco,2015,12.6
Cusco,2016,13.3
Cusco,2017,13.0
Cusco,2018,12.6
Cusco,2019,12.9
Cusco,2020,14.0
Cusco,2021,14.0
Cusco,2022,12.5
Cusco,2023,12.6
Huancavelica,2014,10.3
Huancavelica,2015,10.4
Huancavelica,2016,10.8
Huancavelica,2017,10.4
Huancavelica,2018,10.4
Huancavelica,2019,10.7
Huancavelica,2020,11.1
Huancavelica,2021,10.3
Huancavelica,2022,10.7
Huancavelica,2023,10.7
Huánuco,2014,20.6
Huánuco,2015,20.8
Huánuco,2016,21.4
Huánuco,2017,20.9
Huánuco,2018,20.2
Huánuco,2019,20.4
Huánuco,2020,21.1
Huánuco,2021,20.8
Huánuco,2022,20.9
Huánuco,2023,21.1
Junín,2014,12.4
Junín,2015,12.6
Junín,2016,13.0
Junín,2017,12.8
Junín,2018,12.3
Junín,2019,12.3
Junín,2020,13.3
Junín,2021,12.7
Junín,2022,12.5
Junín,2023,12.5
La Libertad,2014,21.0
La Libertad,2015,22.2
La Libertad,2016,21.2
La Libertad,2017,20.9
La Libertad,2018,20.0
La Libertad,2019,20.6
La Libertad,2020,20.2
La Libertad,2021,19.7
La Libertad,2022,18.8
La Libertad,2023,23.0
Lambayeque,2014,21.7
Lambayeque,2015,22.8
Lambayeque,2016,22.4
Lambayeque,2017,22.0
Lambayeque,2018,20.9
Lambayeque,2019,21.5
Lambayeque,2020,20.8
Lambayeque,2021,20.5
Lambayeque,2022,19.8
Lambayeque,2023,23.8
Lima,2014,19.5
Lima,2015,20.8
Lima,2016,20.3
Lima,2017,20.1
Lima,2018,19.5
Lima,2019,19.6
Lima,2021,18.5
Lima,2022,18.0
Lima,2023,21.4
Loreto,2014,26.9
Loreto,2015,27.3
Loreto,2016,27.5
Loreto,2017,27.5
Loreto,2018,27.2
Loreto,2019,27.4
Loreto,2020,27.6
Loreto,2021,27.5
Loreto,2022,27.3
Loreto,2023,28.0
Madre de Dios,2014,26.5
Madre de Dios,2015,27.1
Madre de Dios,2016,27.0
Madre de Dios,2017,27.0
Madre de Dios,2018,26.2
Madre de Dios,2019,26.6
Madre de Dios,2020,27.5
Madre de Dios,2021,26.5
Madre de Dios,2022,26.1
Madre de Dios,2023,27.2
Moquegua,2014,19.4
Moquegua,2015,19.9
Moquegua,2018,20.1
Moquegua,2019,20.0
Moquegua,2021,18.6
Moquegua,2022,19.4
Pasco,2014,5.2
Pasco,2015,5.5
Pasco,2016,6.0
Pasco,2017,5.5
Pasco,2018,5.2
Pasco,2019,5.5
Pasco,2022,5.4
Pasco,2023,5.9
Piura,2014,25.3
Piura,2015,26.1
Piura,2016,26.0
Piura,2017,25.0
Piura,2018,25.0
Piura,2019,25.4
Piura,2021,23.8
Piura,2022,22.5
Piura,2023,26.6
Puno,2014,10.5
Puno,2015,10.3
Puno,2016,10.9
Puno,2017,10.6
Puno,2018,10.4
Puno,2019,10.7
Puno,2021,9.7
Puno,2022,9.7
San Martín,2014,22.8
San Martín,2015,22.9
San Martín,2016,23.6
San Martín,2017,23.1
San Martín,2018,22.8
San Martín,2019,23.0
San Martín,2021,23.1
San Martín,2022,23.3
San Martín,2023,23.6
Tacna,2014,18.0
Tacna,2015,18.8
Tacna,2016,18.8
Tacna,2017,18.5
Tacna,2018,18.5
Tacna,2019,18.2
Tacna,2020,18.8
Tacna,2021,17.8
Tacna,2022,17.5
Tacna,2023,19.0
Tumbes,2014,26.0
Tumbes,2015,27.2
Tumbes,2016,26.9
Tumbes,2017,25.8
Tumbes,2018,26.0
Tumbes,2019,26.3
Tumbes,2021,24.5
Tumbes,2022,24.2
Tumbes,2023,27.2
Ucayali,2014,25.5
Ucayali,2015,26.0
Ucayali,2016,26.0
Ucayali,2017,25.9
Ucayali,2018,25.5
Ucayali,2019,25.7
Ucayali,2021,25.7
Ucayali,2022,26.1
Ucayali,2023,26.8
Ica,2014,21.0
Ica,2015,21.6
Ica,2016,22.9
Ica,2017,22.7
Ica,2018,22.4
Ica,2019,22.1
Ica,2020,22.7
Ica,2021,22.0
Ica,2022,20.8
Ica,2023,22.7
